"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2008-06-15","England","New Zealand","New Zealand","field","Riverside Ground","307","49.9","5","193","42.5","10","England","runs","114"
"2008-02-17","Australia","India","Australia","bat","Adelaide Oval","203","49.6","10","153","41.2","10","Australia","runs","50"
"2009-10-05","Australia","New Zealand","New Zealand","bat","SuperSport Park","200","49.6","10","206","45.2","4","Australia","wickets","6"
"2010-03-10","West Indies","Zimbabwe","Zimbabwe","field","Arnos Vale Ground, Kingstown","245","49.8","10","104","31.5","10","West Indies","runs","141"
"2011-08-16","Zimbabwe","Bangladesh","Bangladesh","field","Harare Sports Club","250","49.6","7","245","49.2","10","Zimbabwe","runs","5"
"2007-10-02","India","Australia","India","field","Nehru Stadium","306","49.7","6","222","47.3","10","Australia","runs","84"
"2013-05-08","Zimbabwe","Bangladesh","Zimbabwe","field","Queens Sports Club","247","49.6","8","251","47.1","3","Zimbabwe","wickets","7"
"2012-12-14","Australia","New Zealand","Australia","field","North Sydney Oval","288","49.6","6","289","46.4","6","Australia","wickets","4"
"2016-10-11","South Africa","New Zealand","South Africa","field","Diamond Oval","222","49.6","8","226","49.1","6","South Africa","wickets","4"
"2011-01-18","South Africa","India","South Africa","bat","Newlands","220","49.3","10","223","48.2","8","India","wickets","2"
"2013-02-20","New Zealand","England","England","field","McLean Park","269","48.5","10","270","47.4","2","England","wickets","8"
"2008-11-20","India","England","England","bat","Green Park","240","48.4","10","198","39.6","5","India","runs","16"
"2016-07-17","Ireland","Afghanistan","Afghanistan","bat","Civil Service Cricket Club, Stormont","229","49.6","7","150","40.6","10","Afghanistan","runs","79"
"2008-09-06","Australia","Bangladesh","Australia","bat","Marrara Cricket Ground","198","49.7","5","125","29.5","8","Australia","runs","73"
"2006-08-13","Kenya","Bangladesh","Kenya","bat","Gymkhana Club Ground","184","46.3","10","185","46.1","8","Bangladesh","wickets","2"
"2013-07-07","West Indies","Sri Lanka","West Indies","field","Queen's Park Oval, Port of Spain","219","40.6","7","190","40.6","10","Sri Lanka","runs","39"
"2008-06-26","Pakistan","India","Pakistan","bat","National Stadium","299","49.6","5","301","42.1","4","India","wickets","6"
"2013-09-16","England","Australia","Australia","bat","The Rose Bowl","298","49.1","10","249","47.6","10","Australia","runs","49"
"2015-02-15","South Africa","Zimbabwe","Zimbabwe","field","Seddon Park","339","49.7","4","277","48.2","10","South Africa","runs","62"
"2006-10-16","New Zealand","South Africa","South Africa","field","Brabourne Stadium","195","45.4","10","108","34.1","10","New Zealand","runs","87"
"2013-03-11","Canada","Kenya","Canada","bat","ICC Global Cricket Academy","227","49.6","7","228","47.4","4","Kenya","wickets","6"
"2008-06-29","Pakistan","Sri Lanka","Pakistan","field","National Stadium","302","49.8","7","238","49.6","10","Sri Lanka","runs","64"
"2007-02-04","Australia","New Zealand","New Zealand","bat","Melbourne Cricket Ground","290","49.7","7","291","48.2","5","Australia","wickets","5"
"2015-06-17","England","New Zealand","New Zealand","bat","Trent Bridge","349","49.6","7","350","43.6","3","England","wickets","7"
"2010-01-11","Bangladesh","India","India","field","Shere Bangla National Stadium","247","49.6","6","249","42.6","4","India","wickets","6"
"2006-11-05","Australia","West Indies","West Indies","bat","Brabourne Stadium","138","30.4","10","116","28.1","2","Australia","wickets","8"
"2009-09-20","England","Australia","England","field","Riverside Ground","176","45.5","10","177","40.1","6","England","wickets","4"
"2015-11-09","Bangladesh","Zimbabwe","Zimbabwe","field","Shere Bangla National Stadium","241","49.6","10","183","43.2","10","Bangladesh","runs","58"
"2010-05-30","India","Sri Lanka","India","field","Queens Sports Club","242","49.6","10","243","43.3","3","India","wickets","7"
"2006-02-25","New Zealand","West Indies","New Zealand","bat","Jade Stadium","276","49.6","6","255","48.6","10","New Zealand","runs","21"
"2011-03-10","Sri Lanka","Zimbabwe","Zimbabwe","field","Pallekele International Cricket Stadium","327","49.6","6","188","38.6","10","Sri Lanka","runs","139"
"2014-10-12","Australia","Pakistan","Australia","bat","Sheikh Zayed Stadium","231","49.6","10","230","49.6","10","Australia","runs","1"
